label.is-delete-on-cloud; Content can be deleted on cloud; Indhold kan blive slettet i cloud; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/cloud-folder.get.properties}label.is-delete-on-cloud;;;
label.is-delete-on-prem; Delete content on premise if it is deleted on cloud; Slet indhold p\u00e5 serveren hvis det er slettet i cloud; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/cloud-folder.get.properties}label.is-delete-on-prem;;;
label.isModerated; Moderated site membership; Modereret site medlemskab; {alfresco/site-webscripts/org/alfresco/modules/edit-site.get.properties}label.isModerated;;;
label.isPrivate; Private; Privat; {alfresco/site-webscripts/org/alfresco/modules/edit-site.get.properties}label.isPrivate;;;
label.isPublic; Public; Offentligt; {alfresco/site-webscripts/org/alfresco/modules/edit-site.get.properties}label.isPublic;;;
label.item-type; Select the type of list you want to create; V\u00e6lg typen af liste du \u00f8nsker at oprette; {alfresco/site-webscripts/org/alfresco/components/data-lists/datalists.get.properties}label.item-type;;;
label.jmxdump; JMX Dump; JMX \u00d8jebliksbillede (Dump); {alfresco/site-webscripts/org/alfresco/components/console/repository/repository.get.properties}label.jmxdump;;;
label.jobtitle; Job Title; Jobtitel; {alfresco/messages/slingshot.properties}label.jobtitle;;;
label.keyboard-instruction1; When using the keyboard, use the Tab key to move to the next dashlet. Select the dashlet and press E;Ved brug af tastetur: brug tabulatortasten for at navigere til næste instrument. Vælg dashletten og tryk retur for at tilføje instrumentet til kolonne. Tryk escape for at fravælge et objekt; {alfresco/site-webscripts/org/alfresco/components/dashboard/customise-dashlets.get.properties}label.keyboard-instruction1;;;
label.keyboard-instruction2; When using the keyboard, use the Tab key to select a dashlet. Use the arrow keys to move the selecte;Ved brug af tastetur: brug tabulatortasten for at vælge et instrument. Brug piletasterne for at navigere til næste instrument. Tryk escape for at fravælge et objekt. Tryk Delete for at slette et objekt.; {alfresco/site-webscripts/org/alfresco/components/dashboard/customise-dashlets.get.properties}label.keyboard-instruction2;;;
label.keywords; Keywords; N\u00f8gleord; {alfresco/site-webscripts/org/alfresco/components/search/advsearch.get.properties}label.keywords;;;
label.lastLoginFailed; However, it looks like your last login failed. Have you changed your password recently?; Men det ser ud som om dit sidste log ind fejlede. Har du \u00e6ndret din adgangskode nyligt?; {alfresco/site-webscripts/org/alfresco/components/profile/user-cloud-auth.get.properties}label.lastLoginFailed;;;
label.lastname; Last Name; Efternavn; {alfresco/messages/slingshot.properties}label.lastname;;;
label.latest; Latest; Seneste; {alfresco/site-webscripts/org/alfresco/components/wiki/page.get.properties}label.latest;;;
label.layoutWarning; If the new layout has less columns than the current layout, \columns are removed from right side. An; Hvis det nye layout har flere kolonner end den nuv\u00e6rende, s\u00e5 fjernes kolonner fra h\u00f8j; {alfresco/site-webscripts/org/alfresco/components/dashboard/customise-layout.get.properties}label.layoutWarning;;;
label.leaveblank; Leave empty if you don't want to change the password; Efterlad tom, hvis du ikke \u00f8nsker at \u00e6ndre adgangskode; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/users.get.properties}label.leaveblank;;;
label.licensedTo; Licensed To:; Licenseret til:; {alfresco/messages/slingshot.properties}label.licensedTo;;;
label.limit.10;10;10; {alfresco/site-webscripts/org/alfresco/modules/feed/config-feed.get.properties}label.limit.10;;;
label.limit.10;10;10; {alfresco/site-webscripts/org/alfresco/modules/search/config-search.get.properties}label.limit.10;;;
label.limit.100;100;100; {alfresco/site-webscripts/org/alfresco/modules/search/config-search.get.properties}label.limit.100;;;
label.limit.15;15;15; {alfresco/site-webscripts/org/alfresco/modules/feed/config-feed.get.properties}label.limit.15;;;
label.limit.20;20;20; {alfresco/site-webscripts/org/alfresco/modules/feed/config-feed.get.properties}label.limit.20;;;
label.limit.25;25;25; {alfresco/site-webscripts/org/alfresco/modules/feed/config-feed.get.properties}label.limit.25;;;
label.limit.25;25;25; {alfresco/site-webscripts/org/alfresco/modules/search/config-search.get.properties}label.limit.25;;;
label.limit.5;5;5; {alfresco/site-webscripts/org/alfresco/modules/feed/config-feed.get.properties}label.limit.5;;;
label.limit.50;50;50; {alfresco/site-webscripts/org/alfresco/modules/search/config-search.get.properties}label.limit.50;;;
label.link; Link; Link; {alfresco/messages/slingshot.properties}label.link;;;
label.link; Link; Link; {alfresco/site-webscripts/org/alfresco/components/search/search.get.properties}label.link;;;
label.linkTitle; Link Title; Linktitel; {alfresco/site-webscripts/org/alfresco/modules/webview/config-webview.get.properties}label.linkTitle;;;
label.linked-to-rules-set; Linked to Rule Set on Folder; Linket til regel sat p\u00e5 mappe; {alfresco/site-webscripts/org/alfresco/components/rules/rules-linked.get.properties}label.linked-to-rules-set;;;
label.linkedPages; Linked Pages; Linket sider; {alfresco/site-webscripts/org/alfresco/components/wiki/page.get.properties}label.linkedPages;;;
label.load-failed; Could not load activities list; Kunne ikke hente aktivitetsliste; {alfresco/site-webscripts/org/alfresco/components/dashlets/my-activities.get.properties}label.load-failed;;;
label.load-failed; Could not load activities list; Kunne ikke hente aktivitetsliste; {alfresco/site-webscripts/org/alfresco/components/dashlets/site-activities.get.properties}label.load-failed;;;
label.load-failure; Failed to load aspects; Kunne ikke hente aspekter; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/aspects.get.properties}label.load-failure;;;
label.loading; Loading...; Henter...; {alfresco/messages/slingshot.properties}label.loading;;;
label.loading; Loading items - please wait...; Henter poster - v\u00e6r venlig at vente...; {alfresco/site-webscripts/org/alfresco/components/dashlets/rssfeed.get.properties}label.loading;;;
label.loading; Loading items - please wait...; Henter poster - v\u00e6r venlig at vente...; {alfresco/site-webscripts/org/alfresco/components/dashlets/addons.get.properties}label.loading;;;
label.location; Location; Placering; {alfresco/messages/slingshot.properties}label.location;;;
label.location; Where; Hvor; {alfresco/site-webscripts/org/alfresco/components/calendar/info.get.properties}label.location;;;
label.lock-source-copy; Lock 'on-premise' copy; L\u00e5s 'lokale' kopi; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/cloud-folder.get.properties}label.lock-source-copy;;;
label.logo; Logo; Logo; {alfresco/site-webscripts/org/alfresco/components/console/application.get.properties}label.logo;;;
label.logonote; Maximum recommended image height is 48 pixels.; Maksimal foresl\u00e5et billedh\u00f8jde er 48 punkter.; {alfresco/site-webscripts/org/alfresco/components/console/application.get.properties}label.logonote;;;
label.lookfor; Look for; Se efter; {alfresco/site-webscripts/org/alfresco/components/search/advsearch.get.properties}label.lookfor;;;
label.major; Major; St\u00f8rre; {alfresco/site-webscripts/org/alfresco/modules/rules/actions/checkin.get.properties}label.major;;;
label.majorVersion; major changes; st\u00f8rre rettelser; {alfresco/site-webscripts/org/alfresco/components/upload/dnd-upload.get.properties}label.majorVersion;;;
label.majorVersion; major changes; st\u00f8rre rettelser; {alfresco/site-webscripts/org/alfresco/components/upload/flash-upload.get.properties}label.majorVersion;;;
label.majorVersion; major changes; st\u00f8rre rettelser; {alfresco/site-webscripts/org/alfresco/components/upload/html-upload.get.properties}label.majorVersion;;;
label.majorVersion; Major Version; St\u00f8rre version; {alfresco/site-webscripts/org/alfresco/modules/document-details/revert-version.get.properties}label.majorVersion;;;
label.majorVersion.more; major changes ({0}); st\u00f8rre rettelser ({0}); {alfresco/site-webscripts/org/alfresco/components/upload/dnd-upload.get.properties}label.majorVersion.more;;;
label.majorVersion.more; major changes ({0}); st\u00f8rre rettelser ({0}); {alfresco/site-webscripts/org/alfresco/components/upload/flash-upload.get.properties}label.majorVersion.more;;;
label.majorVersion.more; major changes ({0}); st\u00f8rre rettelser ({0}); {alfresco/site-webscripts/org/alfresco/components/upload/html-upload.get.properties}label.majorVersion.more;;;
label.mangerdefaults; Note: Site Managers always have full privileges.; Note: Site ansvarlige har altid fulde rettigheder.; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/permissions.get.properties}label.mangerdefaults;;;
label.map; Map; Kort; {alfresco/site-webscripts/org/alfresco/components/profile/userprofile.get.properties}label.map;;;
label.message; {0} ({1}); {0} ({1}); {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-details-header.get.properties}label.message;;;
label.message; Message; Besked; {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-form.get.properties}label.message;;;
label.message; {0} ({1}); {0} ({1}); {alfresco/site-webscripts/org/alfresco/components/workflow/task-details-header.get.properties}label.message;;;
label.message; Message; Besked; {alfresco/site-webscripts/org/alfresco/modules/email-form.get.properties}label.message;;;
label.mimetype; Mimetype; Mimetype; {alfresco/messages/slingshot.properties}label.mimetype;;;
label.mimetype.unknown; Unknown; Ukendt; {alfresco/messages/slingshot.properties}label.mimetype.unknown;;;
label.minor; Minor; Mindre; {alfresco/site-webscripts/org/alfresco/modules/rules/actions/checkin.get.properties}label.minor;;;
label.minorVersion; minor changes; mindre rettelser; {alfresco/site-webscripts/org/alfresco/components/upload/dnd-upload.get.properties}label.minorVersion;;;
label.minorVersion; minor changes; mindre rettelser; {alfresco/site-webscripts/org/alfresco/components/upload/flash-upload.get.properties}label.minorVersion;;;
label.minorVersion; minor changes; mindre rettelser; {alfresco/site-webscripts/org/alfresco/components/upload/html-upload.get.properties}label.minorVersion;;;
label.minorVersion; Minor Version; Mindre version; {alfresco/site-webscripts/org/alfresco/modules/document-details/revert-version.get.properties}label.minorVersion;;;
label.minorVersion.more; minor changes ({0}); mindre rettelser ({0}); {alfresco/site-webscripts/org/alfresco/components/upload/dnd-upload.get.properties}label.minorVersion.more;;;
label.minorVersion.more; minor changes ({0}); mindre rettelser ({0}); {alfresco/site-webscripts/org/alfresco/components/upload/flash-upload.get.properties}label.minorVersion.more;;;
label.minorVersion.more; minor changes ({0}); mindre rettelser ({0}); {alfresco/site-webscripts/org/alfresco/components/upload/html-upload.get.properties}label.minorVersion.more;;;
label.mobile; Mobile; Mobil; {alfresco/messages/slingshot.properties}label.mobile;;;
label.modelActive; Is Active; Er aktiv; {alfresco/messages/slingshot.properties}label.modelActive;;;
label.modelDescription; Model Description; Modelbeskrivelse; {alfresco/messages/slingshot.properties}label.modelDescription;;;
label.modelName; Model Name; Modelnavn; {alfresco/messages/slingshot.properties}label.modelName;;;
label.moderated; Moderated; Modereret; {alfresco/site-webscripts/org/alfresco/components/my-documentlibraries/my-doclibs.get.properties}label.moderated;;;
label.moderatedHelp; Site managers can control who joins the site; Site ansvarlige kan kontrollere hvem som deltager i sitet; {alfresco/site-webscripts/org/alfresco/modules/edit-site.get.properties}label.moderatedHelp;;;
label.modified; Modified; \u00c6ndret; {alfresco/messages/slingshot.properties}label.modified;;;
label.modified; Modified date; \u00c6ndringsdato; {alfresco/site-webscripts/org/alfresco/share/pages/faceted-search/faceted-search.get.properties}label.modified;;;
label.modified-by-user-on-date; Modified by {0} {1} on {2}; \u00c6ndret af {0} {1} d. {2}; {alfresco/site-webscripts/org/alfresco/components/quickshare/node-header.get.properties}label.modified-by-user-on-date;;;
label.modified-by-user-on-date; Modified by {0} on {1}; \u00c6ndret af {0} d. {1}; {alfresco/site-webscripts/org/alfresco/components/node-details/node-header.get.properties}label.modified-by-user-on-date;;;
label.modifiedDate; Modified on:; \u00c6ndringsdato:; {alfresco/site-webscripts/org/alfresco/components/wiki/pagelist.get.properties}label.modifiedDate;;;
label.modifiedOn; Modified; \u00c6ndret; {alfresco/site-webscripts/org/alfresco/components/profile/user-content.get.properties}label.modifiedOn;;;
label.modifier; Modifier; \u00c6ndret af; {alfresco/messages/slingshot.properties}label.modifier;;;
label.modifier; Modifier; \u00c6ndret af; {alfresco/site-webscripts/org/alfresco/share/pages/faceted-search/faceted-search.get.properties}label.modifier;;;
label.modifier; Modified by:; \u00c6ndret af:; {alfresco/site-webscripts/org/alfresco/components/wiki/pagelist.get.properties}label.modifier;;;
label.month; Month; M\u00e5ned; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}label.month;;;
label.moreInfo; More Info &gt;Mere information &gt; {alfresco/messages/slingshot.properties}label.moreInfo;;;
label.moregroups; ... {0} more.; ... {0} mere.; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/groups.get.properties}label.moregroups;;;
label.moreuserinfo; More about this user; Mere om denne bruger; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/users.get.properties}label.moreuserinfo;;;
label.mostRecentlyCompletedTask; Most Recently Completed Task; Nyligste fuldf\u00f8rte opgaver; {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-form.get.properties}label.mostRecentlyCompletedTask;;;
label.multiUploadTip; Use CTRL or SHIFT to select multiple files; Brug CTRL eller SHIFT for at v\u00e6lge flere filer; {alfresco/site-webscripts/org/alfresco/components/upload/flash-upload.get.properties}label.multiUploadTip;;;
label.name; Name; Navn; {alfresco/messages/slingshot.properties}label.name;;;
label.name; Name; Navn; {alfresco/site-webscripts/org/alfresco/share/pages/faceted-search/faceted-search.get.properties}label.name;;;
label.name; Name; Navn; {alfresco/site-webscripts/org/alfresco/components/console/node-browser.get.properties}label.name;;;
label.new-folder-from-template.header; Update the template folder properties; Opdater mappe skabelonens egenskaber; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}label.new-folder-from-template.header;;;
label.new-folder-from-template.header; Update the template folder properties; Opdater mappe skabelonens egenskaber; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}label.new-folder-from-template.header;;;
label.new-folder-from-template.header; Update the template folder properties; Opdater mappe skabelonens egenskaber; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}label.new-folder-from-template.header;;;
label.new-folder-from-template.header; Update the template folder properties; Opdater mappe skabelonens egenskaber; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}label.new-folder-from-template.header;;;
label.new-folder-from-template.title; Create Folder From Template; Opret mappe fra skabelon; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}label.new-folder-from-template.title;;;
label.new-folder-from-template.title; Create Folder From Template; Opret mappe fra skabelon; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}label.new-folder-from-template.title;;;
label.new-folder-from-template.title; Create Folder From Template; Opret mappe fra skabelon; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}label.new-folder-from-template.title;;;
label.new-folder-from-template.title; Create Folder From Template; Opret mappe fra skabelon; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}label.new-folder-from-template.title;;;
label.new-folder.header; New Folder Details; Ny mappe detaljer; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}label.new-folder.header;;;
label.new-folder.header; New Folder Details; Ny mappe detaljer; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}label.new-folder.header;;;
label.new-folder.header; New Folder Details; Ny mappe detaljer; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/toolbar.get.properties}label.new-folder.header;;;
label.new-folder.header; New Folder Details; Ny mappe detaljer; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}label.new-folder.header;;;
label.new-folder.header; New Folder Details; Ny mappe detaljer; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}label.new-folder.header;;;
label.new-folder.header; New Folder Details; Ny mappe detaljer; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo-toolbar.get.properties}label.new-folder.header;;;
label.new-folder.title; New Folder; Ny mappe; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}label.new-folder.title;;;
label.new-folder.title; New Folder; Ny mappe; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}label.new-folder.title;;;
label.new-folder.title; New Folder; Ny mappe; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/toolbar.get.properties}label.new-folder.title;;;
label.new-folder.title; New Folder; Ny mappe; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}label.new-folder.title;;;
label.new-folder.title; New Folder; Ny mappe; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}label.new-folder.title;;;
label.new-folder.title; New Folder; Ny mappe; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo-toolbar.get.properties}label.new-folder.title;;;
label.new-list; New List; Ny liste; {alfresco/site-webscripts/org/alfresco/components/data-lists/list.get.properties}label.new-list;;;
label.new-list.header; Create a new Data List; Opret ny dataliste; {alfresco/site-webscripts/org/alfresco/components/data-lists/datalists.get.properties}label.new-list.header;;;
label.new-list.title; New List; Ny liste; {alfresco/site-webscripts/org/alfresco/components/data-lists/datalists.get.properties}label.new-list.title;;;
label.new-row.title; Create New Item; Opret ny post; {alfresco/site-webscripts/org/alfresco/components/data-lists/toolbar.get.properties}label.new-row.title;;;
label.newName; Rename Tag; Omd\u00f8b tag; {alfresco/site-webscripts/org/alfresco/components/admin/edit-tag.get.properties}label.newName;;;
label.newVersion; Upload New Version; Overf\u00f8r ny version; {alfresco/site-webscripts/org/alfresco/components/document-details/document-versions.get.properties}label.newVersion;;;
label.newWindow; Open links in new window; \u00c5ben link i nyt vindue; {alfresco/site-webscripts/org/alfresco/modules/feed/config-feed.get.properties}label.newWindow;;;
label.newpassword; New Password; Ny adgangskode; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/users.get.properties}label.newpassword;;;
label.newpassword; Enter New Password; Indtast ny adgangskode; {alfresco/site-webscripts/org/alfresco/components/profile/change-password.get.properties}label.newpassword;;;
label.no; No; Nej; {alfresco/messages/slingshot.properties}label.no;;;
label.no-addable; No aspects available to add; Ingen aspekter tilg\u00e6ngelig for tilf\u00f8jelse; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/aspects.get.properties}label.no-addable;;;
label.no-current; No user-editable aspects applied; Ingen bruger-redigerbar aspekter tilf\u00f8jet; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/aspects.get.properties}label.no-current;;;
label.no-items; No upcoming events; Ingen kommende begivenheder; {alfresco/site-webscripts/org/alfresco/components/dashlets/calendar.get.properties}label.no-items;;;
label.no-job-selected; No Job Selected; Ingen job valgt; {alfresco/site-webscripts/org/alfresco/components/console/repository/replication-jobs.get.properties}label.no-job-selected;;;
label.no-jobs; No Replication Jobs Found; Ingen replikeringsjob fundet; {alfresco/site-webscripts/org/alfresco/components/console/repository/replication-jobs.get.properties}label.no-jobs;;;
label.no-pages; There are no pages available to select; Der er ingen sider tilg\u00e6ngelige at v\u00e6lge; {alfresco/site-webscripts/org/alfresco/modules/wiki/config-wiki.get.properties}label.no-pages;;;
label.no-site-memberships; You are not a member of any sites.; Du er ikke medlem af noget site.; {alfresco/site-webscripts/org/alfresco/components/my-documentlibraries/my-doclibs.get.properties}label.no-site-memberships;;;
label.no-tags; Nothing has been tagged; Ingenting er blevet tagget; {alfresco/site-webscripts/org/alfresco/components/tag-filter/sharedfiles-tag-filter.get.properties}label.no-tags;;;
label.no-tags; Nothing has been tagged; Ingenting er blevet tagget; {alfresco/site-webscripts/org/alfresco/components/tag-filter/tag-filter.get.properties}label.no-tags;;;
label.no-tags; Nothing has been tagged; Ingenting er blevet tagget; {alfresco/site-webscripts/org/alfresco/components/tag-filter/myfiles-tag-filter.get.properties}label.no-tags;;;
label.no-tags; Nothing has been tagged; Ingenting er blevet tagget; {alfresco/site-webscripts/org/alfresco/components/tags/tags.get.properties}label.no-tags;;;
label.no-users-selected; No users selected; Ingen brugere valgt; {alfresco/site-webscripts/org/alfresco/modules/documentlibrary/workflow.get.properties}label.no-users-selected;;;
label.noAddedContent; User has not added any content; Bruger har ikke tilf\u00f8jet noget indhold; {alfresco/site-webscripts/org/alfresco/components/profile/user-content.get.properties}label.noAddedContent;;;
label.noComment; (No comment); (Ingen kommentarer); {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-form.get.properties}label.noComment;;;
label.noComment; No Comment; Ingen kommentarer; {alfresco/site-webscripts/org/alfresco/components/document-details/document-versions.get.properties}label.noComment;;;
label.noComments; No comments; Ingen kommentarer; {alfresco/site-webscripts/org/alfresco/components/blog/comments.get.properties}label.noComments;;;
label.noConfig; No page is configured; Ingen side er blevet konfigureret; {alfresco/site-webscripts/org/alfresco/components/dashlets/wiki.get.properties}label.noConfig;;;
label.noContent; This document has no content.; Dette dokument har intet indhold; {alfresco/site-webscripts/org/alfresco/components/preview/web-preview.get.properties}label.noContent;;;
label.noDueDate; (No due date); (Ingen terminsdato); {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-form.get.properties}label.noDueDate;;;
label.noEvents; No upcoming events; Ingen kommende begivenheder; {alfresco/site-webscripts/org/alfresco/components/dashlets/user-calendar.get.properties}label.noEvents;;;
label.noFiles; Loading files into memory, please wait...; Henter filer ind i hukommelsen - v\u00e6r venlig at vente...; {alfresco/site-webscripts/org/alfresco/components/upload/dnd-upload.get.properties}label.noFiles;;;
label.noFiles; No files to display, click icon to select file(s) to upload; Ingen filer at vise, klik ikon for at v\u00e6lge fil(er) til overf\u00f8rsel; {alfresco/site-webscripts/org/alfresco/components/upload/flash-upload.get.properties}label.noFiles;;;
label.noFlash;" To view the preview please download the latest Flash Player from the<br/><a href=""http://www.adobe.c";" For at vise forh\u00e5ndsvisning v\u00e6r venlig at hente seneste Flash afspiller fra <br/><a href="""; {alfresco/site-webscripts/org/alfresco/components/preview/web-preview.get.properties}label.noFlash;;;
label.noFlash; You need a Flash Player of version 9.0.45 to use this component. You can download the latest version; Du beh\u00f8ver en Flash Player af version 9.0.45 for at bruge denne komponent. Du kan hente den sen; {alfresco/site-webscripts/org/alfresco/components/upload/flash-upload.get.properties}label.noFlash;;;
label.noFollowing; No Followers; Ingen f\u00f8lgere; {alfresco/site-webscripts/org/alfresco/components/profile/followers.get.properties}label.noFollowing;;;
label.noFollowing; Not Following; F\u00f8lger ikke; {alfresco/site-webscripts/org/alfresco/components/profile/following.get.properties}label.noFollowing;;;
label.noItems; No news items; Ingen nyhedsposter; {alfresco/site-webscripts/org/alfresco/components/dashlets/rssfeed.get.properties}label.noItems;;;
label.noItems; No news items; Ingen nyhedsposter; {alfresco/site-webscripts/org/alfresco/components/dashlets/addons.get.properties}label.noItems;;;
label.noItems; No news items;Ingen nyhedsposter; {alfresco/site-webscripts/org/alfresco/components/dashlets/async-rssfeed.post.properties}label.noItems;;;
label.noItems; No items to display; Ingen noder at vise; {alfresco/site-webscripts/org/alfresco/components/dashlets/my-docs-editing.get.properties}label.noItems;;;
label.noItems; No news items; Ingen nyhedsposter; {alfresco/site-webscripts/org/alfresco/components/dashlets/async-rssfeed.get.properties}label.noItems;;;
label.noLinks; No links to display; Ingen links at vise; {alfresco/site-webscripts/org/alfresco/components/dashlets/site-links.get.properties}label.noLinks;;;
label.noLists; No lists to display; Ingen lister at vise; {alfresco/site-webscripts/org/alfresco/components/dashlets/site-data-lists.get.properties}label.noLists;;;
label.noMeetingWorkspaces; No meeting workspaces to display; Ingen m\u00f8de arbejdspladser at vise; {alfresco/site-webscripts/org/alfresco/components/dashlets/my-meeting-workspaces.get.properties}label.noMeetingWorkspaces;;;
label.noMessage; (No Message) ({0}); (ingen besked) ({0}); {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-details-header.get.properties}label.noMessage;;;
label.noMessage; (No Message) ({0}); (ingen besked) ({0}); {alfresco/site-webscripts/org/alfresco/components/workflow/task-details-header.get.properties}label.noMessage;;;
label.noMessageAndNoTask; (No Message); (Ingen Besked); {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-details-header.get.properties}label.noMessageAndNoTask;;;
label.noModifiedContent; User has not modified any content; Bruger har ikke \u00e6ndret noget indhold; {alfresco/site-webscripts/org/alfresco/components/profile/user-content.get.properties}label.noModifiedContent;;;
label.noNews; No news items;Ingen nyhedsposter; {alfresco/site-webscripts/org/alfresco/modules/feed/config-feed.post.properties}label.noNews;;;
label.noPages; There are currently no pages to display; Der er p\u00e5 nuv\u00e6rende tidspunkt ingen sider at vise; {alfresco/site-webscripts/org/alfresco/components/wiki/pagelist.get.properties}label.noPages;;;
label.noPagesLeft; No pages available; Ingen sider tilg\u00e6ngelig; {alfresco/site-webscripts/org/alfresco/components/site/customise-pages.get.properties}label.noPagesLeft;;;
label.noPagesSelected; No pages selected; Ingen sider valgt; {alfresco/site-webscripts/org/alfresco/components/site/customise-pages.get.properties}label.noPagesSelected;;;
label.noPreview;" This document can''t be previewed.<br/><a class=""theme-color-1"" href=""{0}"">Click here to download it";" Dokumentet kan ikke forh\u00e5ndsvises.<br/><a class=""theme-color-1"" href=""{0}"">Klik for at hente de"; {alfresco/site-webscripts/org/alfresco/components/preview/web-preview.get.properties}label.noPreview;;;
label.noPreview.ios;" This document can''t be previewed.<br/><a class=""theme-color-1"" href=""{0}"">Click here to view it.</a";" Dokumentet kan ikke forh\u00e5ndsvises.<br/><a class=""theme-color-1"" href=""{0}"">Klik for at vise det"; {alfresco/site-webscripts/org/alfresco/components/preview/web-preview.get.properties}label.noPreview.ios;;;
label.noRendererForType; Error: No renderer for type ''{0}''; Fejl: Ingen renderer for type ''{0}''; {alfresco/site-webscripts/org/alfresco/components/rules/config/rule-config-condition.get.properties}label.noRendererForType;;;
label.noRendererForType; Error: No renderer for type ''{0}''; Fejl: Ingen renderer for type ''{0}''; {alfresco/site-webscripts/org/alfresco/components/rules/config/rule-config-action.get.properties}label.noRendererForType;;;
label.noRendererForType; Error: No renderer for type ''{0}''; Fejl: Ingen renderer for type ''{0}''; {alfresco/site-webscripts/org/alfresco/components/rules/config/rule-config-type.get.properties}label.noRendererForType;;;
label.noSiteMemberships; User is not a member of any sites.; Bruger er ikke medlem af noget site.; {alfresco/site-webscripts/org/alfresco/components/profile/user-sites.get.properties}label.noSiteMemberships;;;
label.noTasks; No tasks; Ingen opgaver; {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-form.get.properties}label.noTasks;;;
label.noWebPage; No web page to display.; Ingen webside at vise; {alfresco/site-webscripts/org/alfresco/components/dashlets/webview.get.properties}label.noWebPage;;;
label.noWorkspaces; No document workspaces to display; Ingen dokument arbejdspladser at vise; {alfresco/site-webscripts/org/alfresco/components/dashlets/my-workspaces.get.properties}label.noWorkspaces;;;
label.node-inherits-permissions; Inherits; Nedarver; {alfresco/site-webscripts/org/alfresco/components/console/node-browser.get.properties}label.node-inherits-permissions;;;
label.node-owner; Owner; Ejer; {alfresco/site-webscripts/org/alfresco/components/console/node-browser.get.properties}label.node-owner;;;
label.node-path; Primary Path; Prim\u00e6re sti; {alfresco/site-webscripts/org/alfresco/components/console/node-browser.get.properties}label.node-path;;;
label.node-ref; Reference; Reference; {alfresco/site-webscripts/org/alfresco/components/console/node-browser.get.properties}label.node-ref;;;
label.node-type; Type; Type; {alfresco/site-webscripts/org/alfresco/components/console/node-browser.get.properties}label.node-type;;;
label.node-value-collection; Collection; Kollektion; {alfresco/site-webscripts/org/alfresco/components/console/node-browser.get.properties}label.node-value-collection;;;
label.node-value-null; null; null; {alfresco/site-webscripts/org/alfresco/components/console/node-browser.get.properties}label.node-value-null;;;
label.nogroups; No groups; Ingen grupper; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/groups.get.properties}label.nogroups;;;
label.noitems; No items to display; Ingen noder at vise; {alfresco/site-webscripts/org/alfresco/components/dashlets/imagesummary.get.properties}label.noitems;;;
label.none; (None); (Ingen); {alfresco/messages/slingshot.properties}label.none;;;
label.noofgroups; {0} Group(s); {0} gruppe(r); {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/groups.get.properties}label.noofgroups;;;
label.noofusers; {0} User(s); {0} bruger(e); {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/groups.get.properties}label.noofusers;;;
label.notCompleted; <in progress>; <i gang>; {alfresco/site-webscripts/org/alfresco/components/workflow/workflow-form.get.properties}label.notCompleted;;;
