actions.folder.simple-approve; Approve; Godkend; {alfresco/messages/slingshot.properties}actions.folder.simple-approve;;;
actions.folder.simple-reject; Reject; Afvis; {alfresco/messages/slingshot.properties}actions.folder.simple-reject;;;
actions.folder.take-ownership; Become Owner;Bliv ejer; {alfresco/messages/slingshot.properties}actions.folder.take-ownership;;;
actions.folder.view-details; View Details; Vis detaljer; {alfresco/messages/slingshot.properties}actions.folder.view-details;;;
actions.folder.view-in-cloud; View in Cloud; Vis i skyen; {alfresco/messages/slingshot.properties}actions.folder.view-in-cloud;;;
actions.folder.view-source-repository; View in Source Repository; Vis i kilde arkiv; {alfresco/messages/slingshot.properties}actions.folder.view-source-repository;;;
actions.link.delete; Delete Link; Slet link; {alfresco/messages/slingshot.properties}actions.link.delete;;;
actions.link.locate; Locate Linked Item; Find linket post; {alfresco/messages/slingshot.properties}actions.link.locate;;;
actions.more; More...; Mere...; {alfresco/site-webscripts/org/alfresco/components/data-lists/datagrid.get.properties}actions.more;;;
actions.more; More...; Mere...; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/sharedfiles.get.properties}actions.more;;;
actions.more; More...; Mere...; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist-v2.get.properties}actions.more;;;
actions.more; More...; Mere...; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/documentlist.get.properties}actions.more;;;
actions.more; More...; Mere...; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/repo.get.properties}actions.more;;;
actions.more; More...; Mere...; {alfresco/site-webscripts/org/alfresco/components/documentlibrary/myfiles.get.properties}actions.more;;;
actions.synced.cloud.document.delete; <br>''{0}'' is synced and this deletion will only remove the document locally.; <br>''{0}'' er synkroniseret og denne sletning vil kun fjerne dokumentet lokalt.; {alfresco/messages/slingshot.properties}actions.synced.cloud.document.delete;;;
actions.synced.cloud.document.delete.on.prem; <br>''{0}'' is synced and this deletion will remove the document on premise as well as locally.; <br>''{0}'' is synced and this deletion will remove the document on premise as well as locally.; {alfresco/messages/slingshot.properties}actions.synced.cloud.document.delete.on.prem;;;
